country,m_pd_bw_30_70,m_pd_bw_30_70_male,m_pd_bw_30_70_female,m_cr_suicide_r,m_cr_suicide_r_male,m_cr_suicide_r_female,Prob_death_growth_rate,crude_suicide_growth_rate,DD_total_cases,DD_perc_of_pop,AD_total_cases,AD_perc_of_pop
afghanistan,31.96,34.18,29.72,5.32,8.96,1.38,13.37,17.54,1038610.0,3.3,1238880.0,4.0
albania,18.24,21.82,14.26,6.46,8.02,4.88,12.37,-14.55,131048.0,4.8,104925.0,3.8
algeria,16.54,17.8,15.24,3.52,5.06,1.98,32.7,21.95,1683914.0,4.5,1657172.0,4.5
angola,19.36,19.82,19.02,6.1,9.22,3.12,31.25,40.51,892128.0,3.6,675748.0,2.8
antigua and barbuda,22.36,24.7,20.22,0.96,1.42,0.5,3.42,75.0,4424.0,5.1,5327.0,6.1
argentina,17.84,22.84,13.22,9.04,14.78,3.56,23.3,3.16,1914354.0,4.7,2542091.0,6.3
armenia,25.1,33.58,17.76,5.46,9.06,2.24,19.78,-100.0,142712.0,5.0,100447.0,3.5
australia,10.58,12.88,8.22,13.0,19.5,6.52,30.53,0.0,1318599.0,5.9,1548120.0,7.0
austria,12.62,16.26,9.1,16.98,26.08,8.36,25.49,22.0,415916.0,5.1,402993.0,4.9
azerbaijan,25.56,32.26,19.32,2.76,4.44,1.12,24.23,-18.18,428873.0,4.6,314260.0,3.4
bahamas,17.32,20.8,14.22,1.94,3.32,0.6,22.89,15.0,19138.0,5.2,22721.0,6.2
bahrain,15.68,15.58,15.86,6.14,8.58,2.42,51.91,11.94,62549.0,4.8,56344.0,4.3
bangladesh,21.74,21.78,21.68,6.28,4.78,7.76,-0.93,11.94,6391760.0,4.1,6900212.0,4.4
barbados,18.06,22.0,14.62,1.88,2.52,1.26,22.86,61.9,14586.0,5.4,16640.0,6.1
belarus,29.58,42.64,18.06,35.78,63.72,11.36,30.29,39.21,510764.0,5.6,289048.0,3.2
belgium,12.9,16.44,9.46,21.2,29.32,13.38,25.0,8.81,502075.0,4.8,494697.0,4.7
belize,23.64,26.9,20.22,4.96,8.16,1.82,15.65,14.55,14956.0,4.4,19295.0,5.7
benin,19.84,20.26,19.46,9.72,13.58,5.98,2.0,-4.21,411695.0,3.9,290713.0,2.7
bhutan,26.14,24.62,27.96,11.74,14.32,8.88,24.35,8.06,30947.0,4.2,27304.0,3.7
bolivia (plurinational state of),19.44,19.82,19.08,14.08,17.72,10.38,25.22,25.61,453716.0,4.4,565857.0,5.4
bosnia and herzegovina,20.82,26.52,15.56,9.14,14.72,3.74,27.05,17.76,185557.0,5.1,140314.0,3.8
botswana,22.0,25.66,19.08,10.9,17.24,4.7,12.12,21.19,102065.0,4.7,68954.0,3.1
brazil,19.56,23.54,15.92,5.8,8.94,2.72,31.97,-35.42,11548577.0,5.8,18657943.0,9.3
brunei darussalam,17.8,19.66,15.94,3.78,5.36,2.08,19.02,-64.29,15198.0,4.0,13431.0,3.6
bulgaria,25.7,34.28,17.34,13.46,20.64,6.62,17.19,37.84,360724.0,5.2,276820.0,4.0
burkina faso,22.22,23.14,21.54,7.74,10.6,4.98,3.98,6.1,640502.0,3.6,471618.0,2.7
burundi,22.96,22.54,23.4,8.5,12.06,5.04,2.55,-28.17,448822.0,4.2,323003.0,3.0
cape verde,18.64,20.18,17.56,10.58,15.16,6.12,17.7,-20.21,24240.0,4.9,15175.0,3.1
cambodia,22.82,25.48,20.84,5.5,7.88,3.24,17.25,5.36,508823.0,3.4,479469.0,3.2
cameroon,22.5,23.06,22.0,12.28,17.02,7.54,11.84,8.27,886273.0,3.9,620704.0,2.7
canada,11.58,13.86,9.36,12.84,18.88,6.9,31.94,3.85,1566903.0,4.7,1652746.0,4.9
central african republic,24.18,24.88,23.6,8.58,12.64,4.6,7.23,12.5,202081.0,4.2,143526.0,3.0
chad,24.26,24.74,23.84,8.58,9.6,7.56,1.65,-10.0,478228.0,3.5,357769.0,2.6
chile,13.34,16.04,10.92,11.04,18.24,3.94,15.07,2.75,844253.0,5.0,1100584.0,6.5
china,18.6,21.38,15.58,11.02,9.72,12.38,20.93,26.52,54815739.0,4.2,40954022.0,3.1
colombia,17.68,20.18,15.48,7.4,11.8,3.06,23.3,5.26,2177280.0,4.7,2691716.0,5.8
comoros,23.98,25.66,22.42,6.36,9.22,3.42,11.58,-33.33,33769.0,4.4,23946.0,3.1
